Name,Group,Morphology,SF status,Diameter (pc),Diameter (ly),Luminosity (☉),Luminosity (L*),AGN Type,AGN Fraction,Eddington Mass,Distance (pc),App. Magnitude,Diameter ('),Ellipticity,"SB (mag/"")",Design Details,∆x (pc),∆y (pc),∆z (pc)
Helianthus,Helianthus Core,SAB(rs)cd pec,Steady,252101,"822,243",7.08E+11,50.083,None,0,0.00E+00,1.00E+06,0.20,848.97,0,23.48,stupid huge,0.00E+00,0.00E+00,0.00E+00
Lithophyllum,Helianthus Core,E2 pec,Quenched,10383,"33,865",2.30E+09,0.163,FRI NLRG,17.2,1.24E+06,4.96E+05,4.90,71.96,0.1,24.21,polar-ring E,4.45E+05,2.14E+05,-4.48E+04
Cereus,Helianthus Core,SB(s)0,Quenched,9791,"31,934",8.80E+08,0.062,None,0,0.00E+00,4.07E+05,5.52,82.65,0.8,23.49,strong-bar S0,-3.42E+05,-2.20E+05,1.15E+04
Arrojadoa,Helianthus Core,SA(r)0 pec,Terminal,27111,"88,424",5.15E+09,0.364,HII nucleus,0.158,2.54E+04,3.72E+05,3.40,250.09,0.55,24.66,3 disks,1.43E+05,-1.12E+05,3.25E+05
Uebelmannia,Helianthus Core,SB(r)0,Quenched,10595,"34,556",1.76E+09,0.125,None,0,0.00E+00,4.81E+05,5.13,75.73,0.33,24.22,ringed SB0,1.62E+05,-4.51E+05,-4.01E+04
Stetsonia,Helianthus Core,SB(rs)0a,Quenched,22792,"74,337",4.91E+09,0.347,None,0,0.00E+00,4.97E+05,4.09,157.44,0.9,22.70,spectacular bar X,-1.04E+05,3.81E+05,3.02E+05
Boquila,Helianthus Core,(R')SB(r)a,Anemic,32409,"105,704",1.04E+10,0.736,LINER,0.068,2.21E+04,5.03E+05,3.29,221.39,0,25.15,S0 core with ring,1.02E+04,-2.33E+05,-4.45E+05
Limodorum,Helianthus Core,E4 pec,Quenched,15541,"50,688",5.88E+09,0.416,Sy1/LINER,0.165,3.03E+04,3.20E+05,2.93,167.01,0.5,23.42,double-core e,-2.72E+05,1.04E+05,1.31E+05
Gossypium,Helianthus Core,SAB(rs)ab,Terminal,22959,"74,882",6.92E+09,0.490,None,0,0.00E+00,2.75E+05,2.43,286.23,0.75,23.34,classical flocculent,1.88E+05,2.01E+05,3.30E+03
Aecidium,Helianthus Core,SB(rs)c pec,Enhanced,26733,"87,191",1.05E+10,0.743,Sy2,5.48,1.80E+06,4.30E+05,2.94,213.66,0.9,22.22,dying jellyfish S,-4.44E+04,5.68E+04,-4.23E+05
Kuehneola,Helianthus Core,SA(r)0a,Terminal,20158,"65,747",6.10E+09,0.432,LINER,0.015,2.86E+03,5.05E+05,3.88,137.20,0.67,23.50,"dusty, GC-rich S0a",-4.42E+05,1.03E+05,-2.20E+05
Neolecta,Helianthus Core,(R)SB(r)a,Starburst,25918,"84,533",9.10E+09,0.644,Radio-quiet QSO,18.4,5.23E+06,3.19E+05,2.45,278.67,0.1,24.70,starburst Sa,2.66E+05,-1.75E+05,-2.23E+04
Diplosoma,Helianthus Core,(R)SB(rs)0,Quenched,8851,"28,868",1.01E+09,0.071,None,0,0.00E+00,3.08E+05,4.77,98.62,0.2,24.63,ring S0,1.87E+04,1.22E+04,3.08E+05
Ramosmania,Helianthus Core,(R)SB(r)0a pec,Quenched,25031,"81,640",1.11E+10,0.785,LINER,0.0441,1.53E+04,4.98E+05,3.20,172.77,0.6,23.53,X-bar + inclined ring,4.34E+05,-2.02E+03,2.43E+05
Calvatia,Helianthus Core,IA(s)m pec,Terminal,3861,"12,593",1.10E+08,0.008,None,0,0.00E+00,3.81E+05,7.63,34.83,0.2,25.23,t/n irregular,-4.45E+04,-3.78E+05,-2.15E+04
Dracunculus,Helianthus Core,SB(r)ab,Steady,52427,"170,994",3.33E+10,2.356,None,0,0.00E+00,5.61E+05,2.27,320.23,0.4,24.38,natural one-arm,1.23E+05,5.00E+05,-2.23E+05
Puccinia,Helianthus Core,SA(s)a,Anemic,28604,"93,294",7.97E+09,0.564,Sy1.9,0.329,8.19E+04,5.27E+05,3.69,186.42,0.5,24.42,dusty red spiral,3.24E+05,1.54E+05,-3.86E+05
Ficus,Helianthus Core,SA(s)0a,Terminal,25101,"81,868",2.11E+10,1.493,LINER,0.132,8.70E+04,3.37E+05,1.66,255.56,0.6,22.83,sombrero,-1.55E+05,1.73E+05,2.44E+05
Tachigali,Helianthus Core,SA(rs)ab,Terminal,26137,"85,247",6.93E+09,0.490,None,0,0.00E+00,3.01E+05,2.62,297.72,0.4,24.57,red center,-2.25E+05,-2.00E+05,1.30E+02
Xylaria,Helianthus Core,SB(rs)0a,Terminal,30804,"100,469",1.08E+10,0.760,Sy1/HII nucleus,15.38,5.17E+06,4.55E+05,3.04,232.62,0.8,23.26,dusty S0,-2.20E+05,-2.45E+05,-3.13E+05
Letharia,Helianthus Core,SB(s)0a,Terminal,30718,"100,189",9.48E+09,0.671,None,0,0.00E+00,4.19E+05,3.00,251.61,0.9,22.64,casual S0,1.40E+05,3.95E+05,4.02E+03
Trebouxia,Helianthus Core,SA(s)0 pec,Quenched,29474,"96,131",9.04E+09,0.639,LINER,0.172,4.86E+04,2.91E+05,2.26,347.34,0.1,24.98,rose S0,1.85E+05,-2.24E+05,3.20E+03
Strobilanthes,Helianthus Core,SA(s)m pec,Anemic,6046,"19,719",6.10E+08,0.043,None,0,0.00E+00,3.22E+05,5.40,64.60,0,24.59,comet galaxy,-3.20E+05,3.34E+03,3.20E+04
Capsacium,Helianthus Core,SA(r)ab,Anemic,19222,"62,694",1.26E+10,0.891,None,0,0.00E+00,4.09E+05,2.64,161.49,0.2,23.57,very round bulge,8.51E+03,2.78E+05,3.00E+05
Cyanea,Helianthus Core,SB(rs)ab,Anemic,21500,"70,124",6.52E+09,0.461,NLSy1,0.111,2.26E+04,4.30E+05,3.46,171.82,0.9,22.27,out-in quenching,-1.51E+05,-3.89E+05,1.04E+05
Salix,Helianthus Core,SAB(rs)a,Anemic,35677,"116,363",1.31E+10,0.929,HII nucleus,0.044,1.81E+04,2.30E+05,1.34,529.04,0.5,24.34,bright inner ring,1.59E+05,1.23E+05,-1.11E+05
Ilicium,Helianthus Core,IB(s)m pec,Anemic,7299,"23,806",1.14E+08,0.008,None,0,0.00E+00,4.24E+05,7.82,59.22,0.8,25.07,dying irr,3.45E+05,4.40E+04,-2.42E+05
Lactifluus,Helianthus Core,SAB(rs)0a,Terminal,11315,"36,905",2.01E+09,0.142,Sy2,6.947,4.36E+05,2.74E+05,3.76,141.84,0.95,21.40,multiringed red S,2.66E+05,-1.39E+04,6.66E+04
Multifurca,Helianthus Core,E0 pec,Quenched,3219,"10,499",2.66E+08,0.019,None,0,0.00E+00,2.78E+05,5.98,39.86,0,24.12,E w induced arms,2.66E+05,-1.39E+04,7.94E+04
Liparis,Helianthus Core,E5 pec,Terminal,15472,"50,463",1.13E+10,0.799,Radio-quiet QSO,120.9,4.27E+07,1.90E+05,1.09,279.96,0.5,22.70,E with H II rings,-8.40E+04,-8.96E+04,-1.44E+05
Gymnosiphon,Helianthus Core,E0 pec,Quenched,23448,"76,477",1.29E+10,0.913,Sy1/LINER,0.765,3.08E+05,4.79E+05,2.95,168.19,0,24.22,subtle dust ring E,-3.20E+05,3.34E+05,1.23E+05
Hippomane,Helianthus Core,IAB(s)m pec,Starburst,5239,"17,087",1.33E+08,0.009,Sy1,1052,4.37E+06,2.80E+05,6.76,64.39,0.8,24.19,dIrr QSO-adjacent,-1.51E+05,2.33E+05,3.11E+04
Ravenala,Helianthus Core,SA(r)d pec,Firestorm,25194,"82,172",3.32E+10,2.347,Radio-quiet QSO,15.588,1.62E+07,2.55E+05,0.56,338.80,0,23.34,firestorm jellyfish,9.04E+04,4.23E+04,2.34E+05
Pavonia,Helianthus Core,SA(s)cd pec,Starburst,10008,"32,642",1.32E+09,0.093,None,0,0.00E+00,2.34E+05,3.87,147.12,0.67,23.64,dwarf jellyfish,2.23E+05,-5.62E+04,-4.11E+04
Artocarpus,Helianthus Core,SAB(s)ab pec,Anemic,18103,"59,044",4.32E+09,0.305,NLSy1,0.138,1.86E+04,3.76E+05,3.62,165.54,0,24.84,anemic jellyfish,-3.44E+05,2.23E+04,-1.49E+05
Huperzia,Helianthus Core,SA(s)m,Steady,6449,"21,034",5.15E+08,0.036,None,0,0.00E+00,4.24E+05,6.19,52.26,0,24.91,inside a cooling flow,3.49E+05,2.42E+05,0.00E+00
Ephedra,Helianthus Core,IB(s)m,Elevated,6554,"21,376",3.47E+08,0.025,None,0,0.00E+00,2.45E+05,5.43,91.80,0.5,24.62,ripped apart,-2.40E+05,4.46E+04,-2.03E+04
Senecio,Strelitzia Group,SB(rs)cd,Steady,15101,"49,253",2.07E+09,0.146,HII nucleus,0.142,9.19E+03,2.21E+05,3.26,234.86,0,25.25,chaotic clumpy S,1.88E+05,-1.07E+05,-4.46E+04
Conothamnus,Strelitzia Group,SA(s)c,Steady,20557,"67,048",2.88E+09,0.204,None,0,0.00E+00,4.88E+05,4.62,144.84,0.5,24.81,flocculent w multi-arm,-4.43E+05,1.56E+05,1.31E+05
Amanita,Strelitzia Group,SA(s)bc,Steady,48444,"158,003",1.90E+10,1.344,None,0,0.00E+00,9.69E+05,4.06,171.77,0,25.37,perfect 2-arm S,-9.42E+05,-3.66E+04,2.23E+05
Catatrama,Strelitzia Group,(R')SAB(rs)b,Steady,32011,"104,406",1.48E+10,1.047,NLSy1,0.338,1.56E+05,8.48E+05,4.05,129.64,0.2,24.50,star-forming oval,-7.75E+05,4.22E+04,3.43E+05
Limacella,Strelitzia Group,SA(rs)c,Steady,58114,"189,542",2.51E+10,1.776,None,0,0.00E+00,7.00E+05,3.06,284.55,0.67,24.26,17 outer arms,-6.74E+05,5.16E+03,1.91E+05
Atkinsonia,Strelitzia Group,SA(s)bc,Enhanced,70556,"230,123",6.40E+10,4.527,Sy1.2,0.118,2.36E+05,4.03E+05,0.84,596.30,0,24.85,grand-design giant S,-3.34E+05,-1.94E+04,2.24E+05
Ligaria,Strelitzia Group,E4 pec,Rejuvenating,8480,"27,658",1.81E+09,0.128,None,0,0.00E+00,3.90E+05,4.64,74.75,0.5,23.39,classical E,-3.34E+05,1.00E+01,2.01E+05
Loranthus,Strelitzia Group,SA(s)0 pec,Enhanced,4489,"14,641",1.80E+08,0.013,None,0,0.00E+00,4.52E+05,7.47,34.11,0,25.27,amorphous SF disk,-3.78E+05,-2.20E+04,2.48E+05
