Name,Type,Parent,Parent Mass (Sun),Parent Radius (km),Parent Luminosity (Sun),Roche Limit (AU),Mass (Earth),Core Fraction,Mean Radius (km),Surface Gravity (m/s^2),Escape Velocity (m/s),SMA (AU),Eccentricity,Period (yr),Periapsis,Apoapsis,Hill (Periapsis),Hill (Apoapsis),DP parameter π,Insolation (Earth),T_eq (K),Dissipation Q,Tide (m),Host Tide (m),Tidal Heating (K),Tidal Lock (GYR),Host angular size (°)
Tanystylum,Neptune,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
(Calyptra Belt),Asteroid,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
Dendrogaster,Terra,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
(Hemistola Belt),Asteroid,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
Endaster,Terra,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
Laocoon,Terra,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
Laura,Terra,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
Sacculina,Terra,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
Sericosura,Neptune,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
Nymphon,Neptune,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
(Selenia Belt),Asteroid,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
Decolopoda,Jupiter,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
Endeis,Jupiter,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
(Timandra Belt),Asteroid,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
Cymbasoma,Aquaria,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
Calocalanus,Aquaria,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
Pontella,Aquaria,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
Tegastes,Aquaria,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
Sapphirina,Aquaria,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
Anoplodactylus,Neptune,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
Calanus,Aquaria,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
(Lobophora Belt),Asteroid,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
Nanosella,Aquaria,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
Jurodes,Terra,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
Satonius,Aquaria,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
Cicindela,Aquaria,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysina,Aquaria,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
Pulchritudo,Aquaria,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
Nicrophorus,Aquaria,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
Tenebrio,Aquaria,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
Buprestis,Aquaria,Hexastylus,,,,,,,,,,,,,,,,,,,,,,,,,
Haliestes,Ferria,Tanystylum,,,,,,,,,,,,,,,,,,,,,,,,,
Kochlorine,Asteroid,Dendrogaster,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptophialus,Asteroid,Dendrogaster,,,,,,,,,,,,,,,,,,,,,,,,,
Ascothorax,Asteroid,Dendrogaster,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrachna,Asteroid,Sericosura,,,,,,,,,,,,,,,,,,,,,,,,,
Hygrobates,Asteroid,Sericosura,,,,,,,,,,,,,,,,,,,,,,,,,
Limnesia,Asteroid,Sericosura,,,,,,,,,,,,,,,,,,,,,,,,,
Piona,Asteroid,Sericosura,,,,,,,,,,,,,,,,,,,,,,,,,
Forelia,Asteroid,Sericosura,,,,,,,,,,,,,,,,,,,,,,,,,
Tiphys,Asteroid,Sericosura,,,,,,,,,,,,,,,,,,,,,,,,,
Coperonus,Terra,Sericosura,,,,,,,,,,,,,,,,,,,,,,,,,
Echinozone,Terra,Sericosura,,,,,,,,,,,,,,,,,,,,,,,,,
Bunaia,Asteroid,Nymphon,,,,,,,,,,,,,,,,,,,,,,,,,
Bunodes,Asteroid,Nymphon,,,,,,,,,,,,,,,,,,,,,,,,,
Legrandella,Asteroid,Nymphon,,,,,,,,,,,,,,,,,,,,,,,,,
Anderella,Asteroid,Nymphon,,,,,,,,,,,,,,,,,,,,,,,,,
Chasmataspis,Asteroid,Nymphon,,,,,,,,,,,,,,,,,,,,,,,,,
Bellibos,Terra,Nymphon,,,,,,,,,,,,,,,,,,,,,,,,,
Baeonectes,Terra,Nymphon,,,,,,,,,,,,,,,,,,,,,,,,,
Hapsidohedra,Terra,Nymphon,,,,,,,,,,,,,,,,,,,,,,,,,
Pinnotheres,Asteroid,Decolopoda,,,,,,,,,,,,,,,,,,,,,,,,,
Alain,Asteroid,Decolopoda,,,,,,,,,,,,,,,,,,,,,,,,,
Arcotheres,Asteroid,Decolopoda,,,,,,,,,,,,,,,,,,,,,,,,,
Zaops,Asteroid,Decolopoda,,,,,,,,,,,,,,,,,,,,,,,,,
Macrocheira,Terra,Decolopoda,,,,,,,,,,,,,,,,,,,,,,,,,
Achaeopsis,Terra,Decolopoda,,,,,,,,,,,,,,,,,,,,,,,,,
Micropterix,Asteroid,Endeis,,,,,,,,,,,,,,,,,,,,,,,,,
Sabatinca,Asteroid,Endeis,,,,,,,,,,,,,,,,,,,,,,,,,
Agathiphaga,Asteroid,Endeis,,,,,,,,,,,,,,,,,,,,,,,,,
Heterobathmia,Asteroid,Endeis,,,,,,,,,,,,,,,,,,,,,,,,,
Kurokopteryx,Asteroid,Endeis,,,,,,,,,,,,,,,,,,,,,,,,,
Eriocrania,Asteroid,Endeis,,,,,,,,,,,,,,,,,,,,,,,,,
Geometra,Terra,Endeis,,,,,,,,,,,,,,,,,,,,,,,,,
Alsophila,Terra,Endeis,,,,,,,,,,,,,,,,,,,,,,,,,
Synchlora,Terra,Endeis,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclophora,Terra,Endeis,,,,,,,,,,,,,,,,,,,,,,,,,
Maristella,Asteroid,Cymbasoma,,,,,,,,,,,,,,,,,,,,,,,,,
Cypridina,Asteroid,Cymbasoma,,,,,,,,,,,,,,,,,,,,,,,,,
Photeros,Asteroid,Cymbasoma,,,,,,,,,,,,,,,,,,,,,,,,,
Corycaeus,Aquaria,Calocalanus,,,,,,,,,,,,,,,,,,,,,,,,,
Sarsicopia,Asteroid,Calocalanus,,,,,,,,,,,,,,,,,,,,,,,,,
Labidocera,Aquaria,Pontella,,,,,,,,,,,,,,,,,,,,,,,,,
Lernaeocera,Asteroid,Sapphirina,,,,,,,,,,,,,,,,,,,,,,,,,
Penella,Asteroid,Sapphirina,,,,,,,,,,,,,,,,,,,,,,,,,
Peniculisa,Asteroid,Sapphirina,,,,,,,,,,,,,,,,,,,,,,,,,
Sarcotretes,Asteroid,Sapphirina,,,,,,,,,,,,,,,,,,,,,,,,,
Creopelates,Asteroid,Sapphirina,,,,,,,,,,,,,,,,,,,,,,,,,
Metapeniculus,Asteroid,Sapphirina,,,,,,,,,,,,,,,,,,,,,,,,,
Nagasawanus,Asteroid,Sapphirina,,,,,,,,,,,,,,,,,,,,,,,,,
Ophiolernaea,Asteroid,Sapphirina,,,,,,,,,,,,,,,,,,,,,,,,,
Parinia,Asteroid,Sapphirina,,,,,,,,,,,,,,,,,,,,,,,,,
Serpentisaccus,Asteroid,Sapphirina,,,,,,,,,,,,,,,,,,,,,,,,,
Trifur,Asteroid,Sapphirina,,,,,,,,,,,,,,,,,,,,,,,,,
Impexus,Asteroid,Sapphirina,,,,,,,,,,,,,,,,,,,,,,,,,
Lernaeenicus,Asteroid,Sapphirina,,,,,,,,,,,,,,,,,,,,,,,,,
Copilia,Aquaria,Sapphirina,,,,,,,,,,,,,,,,,,,,,,,,,
Vettoria,Aquaria,Sapphirina,,,,,,,,,,,,,,,,,,,,,,,,,
Phoxiphilyra,Aquaria,Anoplodactylus,,,,,,,,,,,,,,,,,,,,,,,,,
Metranura,Asteroid,Calanus,,,,,,,,,,,,,,,,,,,,,,,,,
Udinula,Asteroid,Calanus,,,,,,,,,,,,,,,,,,,,,,,,,
Acartia,Asteroid,Calanus,,,,,,,,,,,,,,,,,,,,,,,,,
Tortanus,Asteroid,Calanus,,,,,,,,,,,,,,,,,,,,,,,,,
Temora,Asteroid,Calanus,,,,,,,,,,,,,,,,,,,,,,,,,
Epischura,Asteroid,Calanus,,,,,,,,,,,,,,,,,,,,,,,,,
Heterocope,Asteroid,Calanus,,,,,,,,,,,,,,,,,,,,,,,,,
Disco,Asteroid,Calanus,,,,,,,,,,,,,,,,,,,,,,,,,
Gaussia,Asteroid,Calanus,,,,,,,,,,,,,,,,,,,,,,,,,
Metridia,Asteroid,Calanus,,,,,,,,,,,,,,,,,,,,,,,,,
Diaixis,Asteroid,Calanus,,,,,,,,,,,,,,,,,,,,,,,,,
Vensiasa,Asteroid,Calanus,,,,,,,,,,,,,,,,,,,,,,,,,
Anawekia,Asteroid,Calanus,,,,,,,,,,,,,,,,,,,,,,,,,
Lucicutia,Asteroid,Calanus,,,,,,,,,,,,,,,,,,,,,,,,,
Diaptomus,Asteroid,Calanus,,,,,,,,,,,,,,,,,,,,,,,,,
Eocoleus,Aquaria,Jurodes,,,,,,,,,,,,,,,,,,,,,,,,,
Hydroscapha,Asteroid,Satonius,,,,,,,,,,,,,,,,,,,,,,,,,
Caledonica,Asteroid,Cicindela,,,,,,,,,,,,,,,,,,,,,,,,,
Phyllodroma,Aquaria,Cicindela,,,,,,,,,,,,,,,,,,,,,,,,,
Cotalpa,Asteroid,Chrysina,,,,,,,,,,,,,,,,,,,,,,,,,
Rutela,Asteroid,Chrysina,,,,,,,,,,,,,,,,,,,,,,,,,
Parastasia,Asteroid,Chrysina,,,,,,,,,,,,,,,,,,,,,,,,,
Thanatophilus,Aquaria,Nicrophorus,,,,,,,,,,,,,,,,,,,,,,,,,
Tribolium,Asteroid,Tenebrio,,,,,,,,,,,,,,,,,,,,,,,,,
Alphitobius,Asteroid,Tenebrio,,,,,,,,,,,,,,,,,,,,,,,,,
Gnatocerus,Asteroid,Tenebrio,,,,,,,,,,,,,,,,,,,,,,,,,
Luprops,Asteroid,Tenebrio,,,,,,,,,,,,,,,,,,,,,,,,,
Agrilus,Aquaria,Buprestis,,,,,,,,,,,,,,,,,,,,,,,,,
Tenomerga,Jupiter,Pheropsophus,,,,,,,,,,,,,,,,,,,,,,,,,
(Sebastes Belt),Asteroid,Synanceia,,,,,,,,,,,,,,,,,,,,,,,,,
Caracanthus,Aquaria,Synanceia,,,,,,,,,,,,,,,,,,,,,,,,,
Dendrochirus,Terra,Synanceia,,,,,,,,,,,,,,,,,,,,,,,,,
(Lioscorpius Belt),Asteroid,Synanceia,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpaena,Aquaria,Synanceia,,,,,,,,,,,,,,,,,,,,,,,,,
Iracundus,Aquaria,Synanceia,,,,,,,,,,,,,,,,,,,,,,,,,
Pterois,Terra,Synanceia,,,,,,,,,,,,,,,,,,,,,,,,,
